Level ,Phase,Week,Day,,Workout,Name,Ex.,Intensity,Set 1,Set 2,Set 3,Set 4
L5,T17,1,1,Monday,T17-1,advanced Skin the Cat,1,3-8 RM,,,,
L5,T17,1,1,Monday,T17-1,Handstand Switch,2,30-45 TM,,,,
L5,T17,1,1,Monday,T17-1,archer Bodyrow,3,8-15 RM,,,,
L5,T17,1,1,Monday,T17-1,archer Push Up,4,8-15 RM,,,,
L5,T17,1,2,Tuesday,T17-2,Hanging side lean,1,3-8 RM,,,,
L5,T17,1,2,Tuesday,T17-2,Deep Squat to Handstand,2,80 TM,,,,
L5,T17,1,2,Tuesday,T17-2,pistol,3,3-8 RM,,,,
L5,T17,1,2,Tuesday,T17-2,Supporting Leg raise,4,8-15 RM,,,,
L5,T17,1,4,Thurdsay,T17-3,planche lean,1,30-45 TM,,,,
L5,T17,1,4,Thurdsay,T17-3,easy bridge lean,2,20-30 TM,,,,
L5,T17,1,4,Thurdsay,T17-3,arched back Pull Up,3,3-8 RM,,,,
L5,T17,1,4,Thurdsay,T17-3,Ring Dip with Turnout,4,3-8 RM,,,,
L5,T17,1,5,Friday,T17-4,RTO Support,1,Max Time,,,,
L5,T17,1,5,Friday,T17-4,archer scap. raise,2,3-8 RM,,,,
L5,T17,1,5,Friday,T17-4,SL Glute Bridge Raise,3,8-15 RM,,,,
L5,T17,1,5,Friday,T17-4,candle raise,4,8-15 RM,,,,
,,,,,,,,,Set 1,Set 2,Set 3,Set 4
L5,P17,2,8,Monday,17A,Handstand Switch,1,30-45 TM,,,,
L5,P17,2,8,Monday,17A,advanced Skin the Cat,2,3-8 RM,,,,
L5,P17,2,8,Monday,17A,archer Bodyrow,3,8-15 RM,,,,
L5,P17,2,8,Monday,17A,archer Push Up,4,8-15 RM,,,,
L5,P17,2,9,Tuesday,17B,Deep Squat to Handstand,1,80 TM,,,,
L5,P17,2,9,Tuesday,17B,Hanging side lean,2,3-8 RM,,,,
L5,P17,2,9,Tuesday,17B,pistol,3,3-8 RM,,,,
L5,P17,2,9,Tuesday,17B,Supporting Leg raise,4,8-15 RM,,,,
L5,P17,2,11,Thurdsay,17C,planche lean,1,30-45 TM,,,,
L5,P17,2,11,Thurdsay,17C,easy bridge lean,2,20-30 TM,,,,
L5,P17,2,11,Thurdsay,17C,arched back Pull Up,3,3-8 RM,,,,
L5,P17,2,11,Thurdsay,17C,Ring Dip with Turnout,4,3-8 RM,,,,
L5,P17,2,12,Friday,17D,RTO Support,1,Max Time,,,,
L5,P17,2,12,Friday,17D,archer scap. raise,2,3-8 RM,,,,
L5,P17,2,12,Friday,17D,SL Glute Bridge Raise,3,8-15 RM,,,,
L5,P17,2,12,Friday,17D,candle raise,4,8-15 RM,,,,
,,,,,,,,,Set 1,Set 2,Set 3,Set 4
L5,P17,3,15,Monday,17A,Handstand Switch,1,30-45 TM,,,,
L5,P17,3,15,Monday,17A,advanced Skin the Cat,2,3-8 RM,,,,
L5,P17,3,15,Monday,17A,archer Bodyrow,3,8-15 RM,,,,
L5,P17,3,15,Monday,17A,archer Push Up,4,8-15 RM,,,,
L5,P17,3,16,Tuesday,17B,Deep Squat to Handstand,1,80 TM,,,,
L5,P17,3,16,Tuesday,17B,Hanging side lean,2,3-8 RM,,,,
L5,P17,3,16,Tuesday,17B,pistol,3,3-8 RM,,,,
L5,P17,3,16,Tuesday,17B,Supporting Leg raise,4,8-15 RM,,,,
L5,P17,3,18,Thurdsay,17C,planche lean,1,30-45 TM,,,,
L5,P17,3,18,Thurdsay,17C,easy bridge lean,2,20-30 TM,,,,
L5,P17,3,18,Thurdsay,17C,arched back Pull Up,3,3-8 RM,,,,
L5,P17,3,18,Thurdsay,17C,Ring Dip with Turnout,4,3-8 RM,,,,
L5,P17,3,19,Friday,17D,RTO Support,1,Max Time,,,,
L5,P17,3,19,Friday,17D,archer scap. raise,2,3-8 RM,,,,
L5,P17,3,19,Friday,17D,SL Glute Bridge Raise,3,8-15 RM,,,,
L5,P17,3,19,Friday,17D,candle raise,4,8-15 RM,,,,
,,,,,,,,,Set 1,Set 2,Set 3,Set 4
L5,P17,4,22,Monday,17A,Handstand Switch,1,30-45 TM,,,,
L5,P17,4,22,Monday,17A,advanced Skin the Cat,2,3-8 RM,,,,
L5,P17,4,22,Monday,17A,archer Bodyrow,3,8-15 RM,,,,
L5,P17,4,22,Monday,17A,archer Push Up,4,8-15 RM,,,,
L5,P17,4,23,Tuesday,17B,Deep Squat to Handstand,1,80 TM,,,,
L5,P17,4,23,Tuesday,17B,Hanging side lean,2,3-8 RM,,,,
L5,P17,4,23,Tuesday,17B,pistol,3,3-8 RM,,,,
L5,P17,4,23,Tuesday,17B,Supporting Leg raise,4,8-15 RM,,,,
L5,P17,4,25,Thurdsay,17C,planche lean,1,30-45 TM,,,,
L5,P17,4,25,Thurdsay,17C,easy bridge lean,2,20-30 TM,,,,
L5,P17,4,25,Thurdsay,17C,arched back Pull Up,3,3-8 RM,,,,
L5,P17,4,25,Thurdsay,17C,Ring Dip with Turnout,4,3-8 RM,,,,
L5,P17,4,26,Friday,17D,RTO Support,1,Max Time,,,,
L5,P17,4,26,Friday,17D,archer scap. raise,2,3-8 RM,,,,
L5,P17,4,26,Friday,17D,SL Glute Bridge Raise,3,8-15 RM,,,,
L5,P17,4,26,Friday,17D,candle raise,4,8-15 RM,,,,
